Identifiant,Url,Titre,Latitude,Longitude,Resume,Capacite_accueil,NombreSdB,NbChambres,NbLits,Type_logement,type_propriete,type_lit,Animal_sur_place,Cuisine,Internet,television,produits_base,Shampooing,Chauffage,Climatisation,machine_laver,seche_linge,parking_sur-place,wifi,television_cable,petit_dejeuner,animaux_acceptes,pourEnfants_famille,adapte_evenements,logement_fumeur,accessibilite,Ascenseur,cheminee_interieur,Interphone,Portier,Piscine,Jacuzzi,salle_sport,Entree_24-24,Cintres,fer_repasser,seche_cheveux,espace_travail_ordi,detecteur_fumee,monoxyde_carbone_detect,kit_secours,fiche_securite,extincteur,porte_chambre_verrou,rection_semaine,reduction_mois,surcout_voyageur_supp,frais_menage,Caution,conditions_annulation,Description,reglement_interieur,duree_minimale_sejour,Prix_Estime
11117004,https://www.airbnb.fr/rooms/11117004,2 chambres + 1 salle de bain privée,44.8504604715,-0.5430526119,"2 belles chambres lumineuses et confortables, situées côte à côte, et disposant d'une salle de bain attenante et totalement privée.

Nous vivons dans une échoppe traditionnelle bordelaise entièrement rénovée, disposant de l'internet haut débit et du wifi gratuit.
Nos filles étant grandes et ayant quitté la maison, nous vous recevrons dans leurs chambres, 2 pièces lumineuses et agréables, et vous disposerez d'une salle de bain totalement privée.
Les 2 chambres sont situées côte à côte, au 1er étage de la maison, côté jardin. Elles disposent chacune d'un lit double (140x190 cm) avec matelas neuf et confortable, d'une penderie et d'un bureau.
La salle de bain privée, située juste à côté des chambres, est équipée d'une baignoire et de deux vasques. 
Les WC sont sur le palier, juste en face des chambres.
Nous dormons dans une 3ème chambre, située au même étage.

Nous louons seulement les 2 chambres et la salle de bain, pas la maison entière. Les autres zones du logement restent notre espace privé.

Je serai présente pendant votre séjour et je répondrai à toutes vos questions avec grand plaisir pour vous aider à découvrir le meilleur de Bordeaux, car je suis amoureuse de ma ville... Je serai donc ravie de vous faire partager mes bonnes adresses !

Le quartier de la Bastide se situe sur la rive droite de la Garonne. C'est un quartier résidentiel, très calme et agréable, tout près du centre ville (10mn en tramway).

L'accès à la maison est très facile en tramway ou en bus depuis la gare ou l'aéroport, ou en voiture depuis les principaux axes de circulation.

Le stationnement dans la rue est facile et gratuit.

A 2mn à pied de la maison, vous trouverez :
- une station de tramway (arrêt \",4,1,1,2,Chambre privée,Maison,nan,Chien(s) et Chat(s),0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,200,Strictes,"Le logement

Nous vivons dans une échoppe traditionnelle bordelaise entièrement rénovée, disposant de l'internet haut débit et du wifi gratuit.

Nos filles étant grandes et ayant quitté la maison, nous vous recevrons dans leurs chambres, 2 pièces lumineuses et agréables, et vous disposerez d'une salle de bain totalement privée.

Les 2 chambres sont situées côte à côte, au 1er étage de la maison, côté jardin. Elles disposent chacune d'un lit double (140x190 cm) avec matelas neuf et confortable, d'une penderie et d'un bureau.

La salle de bain privée, située juste à côté des chambres, est équipée d'une baignoire et de deux vasques. 

Les WC sont sur le palier, juste en face des chambres.

Nous dormons dans une 3ème chambre, située au même étage.

Accès des voyageurs

Nous louons seulement les 2 chambres et la salle de bain, pas la maison entière. Les autres zones du logement restent notre espace privé.

Échanges avec les voyageurs

Je serai présente pendant votre séjour et je répondrai à toutes vos questions avec grand plaisir pour vous aider à découvrir le meilleur de Bordeaux, car je suis amoureuse de ma ville... Je serai donc ravie de vous faire partager mes bonnes adresses !

Le quartier

Le quartier de la Bastide se situe sur la rive droite de la Garonne. C'est un quartier résidentiel, très calme et agréable, tout près du centre ville (10mn en tramway).

Transports

L'accès à la maison est très facile en tramway ou en bus depuis la gare ou l'aéroport, ou en voiture depuis les principaux axes de circulation.

Le stationnement dans la rue est facile et gratuit.

A 2mn à pied de la maison, vous trouverez :

- une station de tramway (arrêt ""Galin"", ligne A)

- une station Vcub (location de vélos)

- un arrêt de bus

- 1 agence de location de voitures (Rent a car)

Autres remarques

Le linge de lit et les serviettes de toilette sont fournis.

Un chat et un chien, tous deux très gentils, vivent avec nous dans la maison.

Nous sommes mariés, et parents de 2 grandes filles. Dans le désordre, nous aimons passer du bon temps avec nos amis, le soleil, la neige aussi, le bon vin et la bonne chère, la musique, les marchés, l'aventure, les brocantes, la mer, toutes les formes d'art et les belles choses en général... Mais surtout, nous aimons les voyages, et dès que nous le pouvons nous nous échappons vers de nouvelles destinations, en France ou ailleurs, pour élargir notre univers et faire de nouvelles rencontres. Airbnb nous a d'ailleurs permis de belles découvertes au gré de nos escapades ! Aujourd'hui nous hébergeons nous aussi des voyageurs chez nous, pour leur faire partager notre univers, notre maison, Bordeaux, nos bons plans et nos adresses préférées. Au plaisir de vous rencontrer !



 ","Ne convient pas aux animaux

Pas de fête ni de soirée

Merci de respecter les lieux et les équipements, et de les laisser propres.

Il est interdit de fumer et de prendre ses repas dans les chambres.",1,69.09639211648573
11117570,https://www.airbnb.fr/rooms/11117570,Studio meublé Bordeaux centre,44.8258668741,-0.5758170783,"Studio meublé en rez de chaussée dans résidence sécurisée avec gardien entièrement rénové l'année dernière.
Situé à 5 minutes à pied de la place de la Victoire et à 5 minutes du tramway ligne B. Quartier Bergonié, tous commerces à proximité.

Studio meublé en rez de chaussée dans résidence sécurisée avec gardien entièrement rénové l'année dernière.

Quartier Bergonié, tous commerces à proximité.

Situé à 5 minutes à pied de la place de la Victoire et à 5 minutes du tramway ligne B.",1,1,0,1,Logement entier,Appartement,Canapé convertible,nan,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,15,25,0,0,0,Flexibles,"Le logement

Studio meublé en rez de chaussée dans résidence sécurisée avec gardien entièrement rénové l'année dernière.

Le quartier

Quartier Bergonié, tous commerces à proximité.

Transports

Situé à 5 minutes à pied de la place de la Victoire et à 5 minutes du tramway ligne B.","Non fumeur

Ne convient pas aux animaux

Pas de fête ni de soirée

",6,21.978585022813604
11121651,https://www.airbnb.fr/rooms/11121651,Appartement 65m2 cœur de Bordeaux,44.8390728653,-0.569095088,"Appartement de 65m2 style ancien avec belles prestations comprenant 2 chambres et un grand salon/salle à manger et cuisine semi séparée. 
A deux pas de la Place du Palais et des Quais.

Acces tram A a 20 mètres et tram B a 100 mètres (direct gare)
Proche parkings public.",6,1,2,3,Logement entier,Appartement,nan,nan,1,1,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,20,20,15,10,560,Strictes,"Accès des voyageurs

Acces tram A a 20 mètres et tram B a 100 mètres (direct gare)

Proche parkings public.",nan,2,116.88919024471033
11134640,https://www.airbnb.fr/rooms/11134640,APPART HUSTIN,44.8454831972,-0.5792870792,"Ce studio vous invite à une découverte de Bordeaux pour une nuit ou quelques jours.Entièrement rénové.
Idéalement situé au centre de Bordeaux à 200 m du jardin public et 400 m des Allées Tourny.

Un arrêt de bus se trouve cours de Verdun. Rue parallèle à l'appart.",2,1,0,1,Logement entier,Appartement,nan,nan,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,5,15,0,10,130,Modérées,"Transports

Un arrêt de bus se trouve cours de Verdun. Rue parallèle à l'appart.","Ne convient pas aux animaux

Pas de fête ni de soirée

L'entrée dans les lieux se fait après 15:00

Que les voyageurs ne fument pas dans le studio et qu'ils respectent les lieux",1,40.289623197592846
11143721,https://www.airbnb.fr/rooms/11143721,Appartement au calme idéalement placé,44.8235612011,-0.5532414624,"Appartement T3 récemment aménagé dans une résidence calme. Salon avec cuisine ouverte, balcon, deux chambres avec rangement (draps et serviettes non fournis), une salle de bains séparée des toilettes.
Très proche du tram (à 100mètres, ligne C) qui vous amènent en un arrêt à la gare Saint-Jean, en 15 min aux Quinconces.
En voiture, la rocade est accessible en moins de 5 min et une place de parking privée vous est réservée.
Commerces à 100 mètres, parc avec jeux pour enfants à 100 mètres.",6,15,2,3,Logement entier,Appartement,nan,nan,1,1,1,1,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,20,500,Modérées,"Appartement T3 récemment aménagé dans une résidence calme. Salon avec cuisine ouverte, balcon, deux chambres avec rangement (draps et serviettes non fournis), une salle de bains séparée des toilettes.

Très proche du tram (à 100mètres, ligne C) qui vous amènent en un arrêt à la gare Saint-Jean, en 15 min aux Quinconces.

En voiture, la rocade est accessible en moins de 5 min et une place de parking privée vous est réservée.

Commerces à 100 mètres, parc avec jeux pour enfants à 100 mètres.","Non fumeur

Ne convient pas aux animaux

Pas de fête ni de soirée

Ce logement est une résidence principale et vient d'être réaménagée à neuf début juillet 2016. Elle possède 3 grands placards de rangement. Seulement deux vous sont destinés. Dans le troisième sont rangés mes effets personnels. Il vous est demandé de les respecter. Tout comme de respecter la décoration personnelle.

Aucun linge n'est fourni (draps, serviettes).

C'est une résidence calme, il vous est demandé de ne pas faire de bruit après 22H.",2,113.52546477325359
11150104,https://www.airbnb.fr/rooms/11150104,"Loft / Appartement, St Jean /Sacré Coeur",44.8259363919,-0.5600109153,"Quartier Sacré Coeur, ancien atelier d'artiste, 1er étage très calme, entièrement rénové. 
50m², très clair, sans vis à vis.
Dans maison de ville, à 200m de la Gare Saint Jean, du Tram/bus et station vélos.
Grand séjour avec canapé convertible 2 places, cuisine équipée ouverte.
Chambre 10m² avec 1 grand lit.
Salle d'eau avec douche et WC (de juin à septembre, 7 nuits minimum).
Non fumeur (à l'intérieur)

Quartier Sacré Coeur, ancien atelier d'artiste, 1er étage très calme, entièrement rénové.
Dans maison de ville, à 200m de la Gare Saint Jean, du Tram/bus et station vélos.
Très clair, sans vis à vis.
Grand séjour avec canapé convertible 2 places, cuisine équipée ouverte.
Chambre 10m² avec 1 grand lit.
Salle d'eau avec douche et WC (de juin à septembre, 7 nuits minimum).
Non fumeur (à l'intérieur)

L'appartement se situe dans une maison de ville en pierre.
L'entrée est commune.
L'appartement est entièrement indépendant.

Habitant sur place, je serai disponible la plupart du temps quand je suis présent.
Sinon par téléphone.

Gare saint jean, quartier Sacré Coeur, à 10 minutes à pied du vieux Bordeaux.
Très animé, avec tous les commerces indispensables à proximité immédiate.
Nombreux bars, restaurants.
Et surtout, tous les moyens de transports urbains directement accessibles.

Gare saint jean à 200m - tram et bus à 200m - taxis et station vélos à 200m - Navette aéroport à 200m.

Gare saint jean à 200m - tram et bus à 200m - taxis et station vélos à 200m - restaurants - commerces - pharmacies",4,1,1,0,Logement entier,Appartement,nan,nan,1,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,15,30,9,25,300,nan,"Le logement

Quartier Sacré Coeur, ancien atelier d'artiste, 1er étage très calme, entièrement rénové.

Dans maison de ville, à 200m de la Gare Saint Jean, du Tram/bus et station vélos.

Très clair, sans vis à vis.

Grand séjour avec canapé convertible 2 places, cuisine équipée ouverte.

Chambre 10m² avec 1 grand lit.

Salle d'eau avec douche et WC (de juin à septembre, 7 nuits minimum).

Non fumeur (à l'intérieur)

Accès des voyageurs

L'appartement se situe dans une maison de ville en pierre.

L'entrée est commune.

L'appartement est entièrement indépendant.

Échanges avec les voyageurs

Habitant sur place, je serai disponible la plupart du temps quand je suis présent.

Sinon par téléphone.

Le quartier

Gare saint jean, quartier Sacré Coeur, à 10 minutes à pied du vieux Bordeaux.

Très animé, avec tous les commerces indispensables à proximité immédiate.

Nombreux bars, restaurants.

Et surtout, tous les moyens de transports urbains directement accessibles.

Transports

Gare saint jean à 200m - tram et bus à 200m - taxis et station vélos à 200m - Navette aéroport à 200m.

Autres remarques

Gare saint jean à 200m - tram et bus à 200m - taxis et station vélos à 200m - restaurants - commerces - pharmacies","Non fumeur

Ne convient pas aux animaux

Pas de fête ni de soirée

Ne convient pas aux bébés (moins de 2 ans)

Respecteux et calme - Non fumeur (à l'intérieur)",2,77.11121367961277
11175932,https://www.airbnb.fr/rooms/11175932,Jardin naujac,44.8487232498,-0.5860860404,"je  propose le partage du couchage ( 3 lits une place) dans une grande chambre séparée du reste de l'appartement, une cuisine est a disposition, un jardin avec un barbecue si demandé), à 10 mn a pied du centre ville et du 1er tramway,  quartier pallais gallien, toute commodité a proximité,

Le logement est tres chaleureux et l exterieur est des plus agreable..un coin de campagne dn centre ville de bordeaux est a votre disposition

A 10mn a pied il y a Le parc bordelais.les quais de bordeaux.le centre ville.les quinconces.tous les commerces a proximité

Le colisee du palais galien est tres touristiqueet est a 500m de l appartement.vie de quartirr agreable

Tram c.

La chambre est une grande piece.adaptée.mais la discretion dans cette piece est sougaitee pour respecter le rytme de sommeil de (URL HIDDEN) travaille pour ma part donc la journee le logement sera a votre disposition",3,1,1,0,Chambre partagée,Appartement,nan,nan,1,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,30,25,0,0,nan,"Le logement

Le logement est tres chaleureux et l exterieur est des plus agreable..un coin de campagne dn centre ville de bordeaux est a votre disposition

Accès des voyageurs

A 10mn a pied il y a Le parc bordelais.les quais de bordeaux.le centre ville.les quinconces.tous les commerces a proximité

Le quartier

Le colisee du palais galien est tres touristiqueet est a 500m de l appartement.vie de quartirr agreable

Transports

Tram c.

Autres remarques

La chambre est une grande piece.adaptée.mais la discretion dans cette piece est sougaitee pour respecter le rytme de sommeil de (URL HIDDEN) travaille pour ma part donc la journee le logement sera a votre disposition

chaleureuse et acceuillante, vous ne serais pas decue tant de ma

 convivialité que de l'appartement chalheureux dans lequel vous pourrez séjourner!

l'idée  est que vous puissiez vous y sentir chez vous!

je peux heberger des personnes seules ou entre amis,selon le nombre je serais moi aussi dans le logement,","Non fumeur

Ne convient pas aux animaux

Pas de fête ni de soirée

L'entrée dans les lieux se fait après 18:00

Arrivee preferable vers 18h depart le matin avant 10hoo",1,60.896125763699274
11225815,https://www.airbnb.fr/rooms/11225815,Charmant T2 à 2 pas du centre ville,44.8253302343,-0.5889154954,"Découvrez Bordeaux dans un appartement tout confort avec balcon dans une résidence calme,composé d'une chambre+clic-clac dans le séjour permet d'accueillir jusqu'à 4 personnes.
Pour se rendre en centre ville : accès direct en bus au pied de la résidence, tram à 10 min à pied.

Appartement au 1er étage avec ascenseur dans une résidence sécurisée et calme. 
Entièrement équipé.
Cuisine : plaque induction, four, micro-onde, cafetière Nespresso, bouilloire, grille-pain...
Salon-salle à manger meublé avec clic-clac, télévision, accès internet, espace bureau et espace de rangement.
Agréable balcon permettant de profiter de la douceur bordelaise.
Chambre : lit de deux personnes
Salle d'eau : grande douche, lavabo, machine à laver et WC.

Dans l'appartement, vous aurez à votre disposition un plan des transports de l'agglomération bordelaise (Tram/ Bus/ Vcub et Batcub).
Sur place, nous pourrons échanger sur vos trajets et visites.

L'appartement se situe dans un quartier résidentiel avec boulangerie, boucherie, épicerie, primeur, banques, poste, fleuriste, coiffeur, pharmacie.

Au pied de la résidence, vous trouverez différentes lignes de bus :  4 (centre historique), 11 (Place de la Victoire et Gare St Jean), à deux pas d'une station Vbub et ligne 9 (gare St Jean) et ligne 26.",4,1,1,1,Logement entier,Appartement,Vrai lit,nan,1,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,12,40,10,20,350,Modérées,"Le logement

Appartement au 1er étage avec ascenseur dans une résidence sécurisée et calme. 

Entièrement équipé.

Cuisine : plaque induction, four, micro-onde, cafetière Nespresso, bouilloire, grille-pain...

Salon-salle à manger meublé avec clic-clac, télévision, accès internet, espace bureau et espace de rangement.

Agréable balcon permettant de profiter de la douceur bordelaise.

Chambre : lit de deux personnes

Salle d'eau : grande douche, lavabo, machine à laver et WC.

Échanges avec les voyageurs

Dans l'appartement, vous aurez à votre disposition un plan des transports de l'agglomération bordelaise (Tram/ Bus/ Vcub et Batcub).

Sur place, nous pourrons échanger sur vos trajets et visites.

Le quartier

L'appartement se situe dans un quartier résidentiel avec boulangerie, boucherie, épicerie, primeur, banques, poste, fleuriste, coiffeur, pharmacie.

Transports

Au pied de la résidence, vous trouverez différentes lignes de bus :  4 (centre historique), 11 (Place de la Victoire et Gare St Jean), à deux pas d'une station Vbub et ligne 9 (gare St Jean) et ligne 26.","Non fumeur

Ne convient pas aux animaux

Pas de fête ni de soirée

L'heure d'entrée dans les lieux est 15:00 - 22:00.

Par respect pour les futurs voyageurs, nous vous demandons de ne pas fumer dans l'appartement. 

Nous n'acceptons pas les animaux de compagnie.",2,80.83040072969834
11234705,https://www.airbnb.fr/rooms/11234705,appartement bordeaux 40 m2 tram C,44.8528547905,-0.5755365468,"appartement bordeaux 40 m2 situé a 100 m de la place paul doumer et du tram C. Le tram C va de la gare au stade de football.
L' appartement  calme equipé de double vitrage et trés lumineux à proximité des commerces et restaurants.

appartement confortable et trés lumineux  equipé de double vitrage. 
L'appartement est bien equipé : plaque vitroceramique ,four, four a micro onde, ordinateur de bureau+ecran 22 pouce, internet haut debit+wifi, machine à laver, seche linge, tV 107 cm, appareil à raclette, robot multifonction, blinder, presse agrume electrique, barbecue electrique, grille pain, friteuse electrique, cafetiere etc...

lit 140 cm avec matelas de marque trés confortable+ matelas d'appoint a l'interieur du canape convertible de 140cm  pouvant acceuillir 2 personnes supplementaires

sejour de 4 nuit minimum.

appartement au 1 er etage. sonette 5
if you are arriving by train, you can take the tram C outside the train station (direction les Aubiers) and get off at \",4,1,1,0,Logement entier,Appartement,Vrai lit,nan,1,1,1,1,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,20,0,30,450,nan,"Le logement

appartement confortable et trés lumineux  equipé de double vitrage. 

L'appartement est bien equipé : plaque vitroceramique ,four, four a micro onde, ordinateur de bureau+ecran 22 pouce, internet haut debit+wifi, machine à laver, seche linge, tV 107 cm, appareil à raclette, robot multifonction, blinder, presse agrume electrique, barbecue electrique, grille pain, friteuse electrique, cafetiere etc...

lit 140 cm avec matelas de marque trés confortable+ matelas d'appoint a l'interieur du canape convertible de 140cm  pouvant acceuillir 2 personnes supplementaires

sejour de 4 nuit minimum.

Accès des voyageurs

appartement au 1 er etage. sonette 5

if you are arriving by train, you can take the tram C outside the train station (direction les Aubiers) and get off at "" place paul doumer"".walk 100 meter on ""rue albert pitres"" the flat is here.

si vous arrivez en train prendre le tram C (direction les Aubiers) arretez vous place paul doumer et remonter la rue albert pitres sur 100m.

Échanges avec les voyageurs

parle anglais et francais.

 je me ferais un plaisir de vous renseigner sur les bons plans dans ma ville et ma région.

sejour de 3 nuit minimum.

Le quartier

quartier chartrons jardin publique bar, restaurant et tout commerce à 3 min à pied

Transports

Tram C ligne allant du stade de football à la gare, Bus et velib à moins de 2 mn à pied.

Autres remarques

accés directe stade de football par le tram C

C'est avec plaisir que je vous accueillerai à Bordeaux et vous donnerai les meilleures informations pour vous permettre de passer un agréable séjour dans cette ville.","Non fumeur

Ne convient pas aux animaux

L'entrée dans les lieux se fait après 11:00

appartement non fumeur interdit aux animaux (no pets no smoking inside please)

merci de vous déchausser en rentrant dans l appartement surtout si vous portez des talons mesdames le sol viens d'être refait a neuf.

Respecter le voisinage",1,88.77803175268946
11263889,https://www.airbnb.fr/rooms/11263889,Beau T2 bis Triangle d'Or Bordeaux,44.8447079347,-0.5776260541,"Idéalement situé au coeur du Triangle d'Or de Bordeaux dans le très prisé quartier des Grands Hommes, cet appartement de 57 m2 baigné de lumière entièrement rénové avec goût en 2016 vous séduira. Visite des plus beaux sites bordelais à pieds.

Cet appartement très lumineux est un vrai nid douillet pour découvrir Bordeaux en couple ou en famille. Très calme, les fenêtres sont équipés de doubles vitrages, la chambre donne sur une cours.
Entièrement rénové en 2016, belle pièce de vie composée d'un salon, salle à manger, cuisine ouverte équipée (lave vaisselle, micro-ondes, four, frigo, plaques inductions). Une belle chambre avec literie de qualité neuve de 140*200 et dressing. WC séparé. Salle de bain avec baignoire. Grande mezzanine avec banquette confort convertible neuve de 160*200.
Les lits sont faits, le linge de toilette est fourni.
Appartement équipé de la WIFI, TV 200 chaînes, lave linge-sèche linge, fer à repasser,...
Sa très bonne situation vous permettra de visiter de nombreux monuments, de faire du shopping, d'aller au cinéma ou au thêatre et de découvrir mille et un cafés et restaurants sans oublier le fleuve et ses quais nouvellement réhabilités, tout cela à pieds !!!
Appartement idéal pour une immersion totale dans la vie bordelaise.
Nous sommes là pour vous faire passer un très agréable séjour dans notre belle ville.

L'accès à l'appartement est très simple, situé dans l'hyper centre de Bordeaux. Tramway et bus à 50 mètres. Parking des Grands Hommes et de Tourny à 30 mètres. Station de vélos en bas de l'appartement.

Amoureux de notre région, nous sommes très heureux et fiers de vous accueillir dans notre belle ville classée au patrimoine Mondial de l'UNESCO. Cet appartement est idéal pour visiter Bordeaux à pieds, proche de nombreux sites classés et des plus belles boutiques de Bordeaux.

Au coeur du vieux Bordeaux, on appelle le Triangle la zone délimitée par les allées de Tourny, le cours Clémenceau et le cours de l’Intendance.  Ce périmètre est également nommé le Quartier des  Grands Hommes. Il constitue l’une des plus agréables promenades de la ville, aménagée à la fin du XVIIIème siècle. Ce secteur de Bordeaux réunit des quartiers élégants où se concentrent les magasins de luxe, les salles de spectacle et quelques grandes tables bordelaises. Aéré, animé, alignant de belles façades classiques, ce \",4,1,1,0,Logement entier,Appartement,nan,nan,1,1,1,1,0,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,10,0,0,500,nan,"Le logement

Cet appartement très lumineux est un vrai nid douillet pour découvrir Bordeaux en couple ou en famille. Très calme, les fenêtres sont équipés de doubles vitrages, la chambre donne sur une cours.

Entièrement rénové en 2016, belle pièce de vie composée d'un salon, salle à manger, cuisine ouverte équipée (lave vaisselle, micro-ondes, four, frigo, plaques inductions). Une belle chambre avec literie de qualité neuve de 140*200 et dressing. WC séparé. Salle de bain avec baignoire. Grande mezzanine avec banquette confort convertible neuve de 160*200.

Les lits sont faits, le linge de toilette est fourni.

Appartement équipé de la WIFI, TV 200 chaînes, lave linge-sèche linge, fer à repasser,...

Sa très bonne situation vous permettra de visiter de nombreux monuments, de faire du shopping, d'aller au cinéma ou au thêatre et de découvrir mille et un cafés et restaurants sans oublier le fleuve et ses quais nouvellement réhabilités, tout cela à pieds !!!

Appartement idéal pour une immersion totale dans la vie bordelaise.

Nous sommes là pour vous faire passer un très agréable séjour dans notre belle ville.

Accès des voyageurs

L'accès à l'appartement est très simple, situé dans l'hyper centre de Bordeaux. Tramway et bus à 50 mètres. Parking des Grands Hommes et de Tourny à 30 mètres. Station de vélos en bas de l'appartement.

Échanges avec les voyageurs

Amoureux de notre région, nous sommes très heureux et fiers de vous accueillir dans notre belle ville classée au patrimoine Mondial de l'UNESCO. Cet appartement est idéal pour visiter Bordeaux à pieds, proche de nombreux sites classés et des plus belles boutiques de Bordeaux.

Le quartier

Au coeur du vieux Bordeaux, on appelle le Triangle la zone délimitée par les allées de Tourny, le cours Clémenceau et le cours de l’Intendance.  Ce périmètre est également nommé le Quartier des  Grands Hommes. Il constitue l’une des plus agréables promenades de la ville, aménagée à la fin du XVIIIème siècle. Ce secteur de Bordeaux réunit des quartiers élégants où se concentrent les magasins de luxe, les salles de spectacle et quelques grandes tables bordelaises. Aéré, animé, alignant de belles façades classiques, ce ""triangle"" offre de larges perspectives sur les places de la Comédie, Tourny et des Quinconces.

La Place des Grands Hommes est  un important centre commercial et, tout à côté, on peut découvrir  le  Grand Théâtre de Bordeaux, modèle précurseur des théâtres et opéras d'Europe.

Transports

Tramway et bus à proximité. Parking des Grands Hommes  et de Tourny à 30 mètres. Station de vélos en bas de l'appartement.

Autres remarques

Option ménage 30€b

Nous sommes un couple avec un enfant de 11 ans. Nous habitons Bordeaux et le Bassin d'Arcachon. Nous aimons voyager et découvrir des endroits calmes et insolites. Nous vous accueillons avec plaisir dans notre belle région du Sud Ouest.","L'entrée dans les lieux se fait après 14:00

Respecter le lieu et le voisinage.

Il est impératif de laisser le lieu dans l'état de propreté dans lequel vous l'avez trouvé.

Si toutefois vous ne souhaitiez pas effectuer le ménage, faites en la demande moyennant un forfait de 30€.",3,80.66959828174731
