Capacite_accueil,NbChambres,frais_menage,Latitude,Longitude,Caution,Prix_Estime
2.0,1.0,0.0,44.8402957204,-0.5883284912,0.0,51.538398251741455
2.0,1.0,0.0,44.843899363,-0.558314783,0.0,47.710002883723064
4.0,1.0,40.0,44.8389417801,-0.56910126,400.0,88.04251782975825
8.0,3.0,50.0,44.8546131185,-0.5775876693,500.0,161.9779302875204
2.0,1.0,0.0,44.8397764657,-0.5730139649,0.0,49.25240097393089
4.0,1.0,0.0,44.8544334279,-0.5672154773,0.0,66.73119370179575
3.0,1.0,12.0,44.8607971904,-0.5590635954,400.0,72.94389704468722
6.0,3.0,0.0,44.8471690609,-0.5894069408,300.0,125.55394073896969
2.0,1.0,50.0,44.848338631,-0.5702814887,500.0,79.09470024914754
2.0,1.0,0.0,44.8294625691,-0.5725147903,200.0,53.190493304664415
4.0,1.0,25.0,44.8329854217,-0.5820689209,300.0,81.73348380727111
2.0,1.0,0.0,44.8358646965,-0.5755048996,0.0,49.060628919529336
1.0,1.0,4.0,44.8382859328,-0.6076425841,0.0,47.15026021778158
4.0,1.0,20.0,44.8444011289,-0.5871236283,500.0,88.00184516197896
2.0,1.0,0.0,44.8608410284,-0.5573175955,0.0,49.95522828445246
2.0,1.0,25.0,44.8525177554,-0.5772628869,300.0,67.5442292744774
4.0,1.0,50.0,44.8420386682,-0.5730033685,750.0,101.68000010910964
2.0,1.0,0.0,44.8522902326,-0.5904042463,100.0,56.262323386546996
16.0,10.0,0.0,44.8318564216,-0.5745358404,0.0,306.97552060766975
8.0,5.0,60.0,44.8565745277,-0.5830547159,800.0,206.50932522220137
4.0,1.0,0.0,44.8212974757,-0.5749759246,300.0,71.37647613269019
2.0,1.0,0.0,44.8388772345,-0.5807255269,0.0,50.239809684346255
2.0,1.0,0.0,44.827292091,-0.5913991715,0.0,50.1481545812303
4.0,1.0,40.0,44.843457215,-0.5784650769,100.0,81.83509484003571
7.0,3.0,25.0,44.8633345425,-0.6185039814,350.0,149.212699583034
3.0,2.0,45.0,44.8443859615,-0.5465142872,150.0,88.22483916076453
4.0,2.0,50.0,44.8583758041,-0.5662099228,300.0,106.80374464289434
6.0,3.0,70.0,44.8406711972,-0.5716099441,600.0,151.77788853707625
10.0,6.0,90.0,44.8304315669,-0.5822303399,800.0,244.2703590046949
4.0,2.0,0.0,44.8388302918,-0.5688584277,350.0,90.42851703522138
6.0,3.0,20.0,44.8301492849,-0.6103448018,1000.0,151.45271975532887
4.0,0.0,0.0,44.8340247385,-0.5744961224,150.0,52.90642587704497
4.0,1.0,0.0,44.8551603203,-0.5859629406,300.0,77.73969361659692
6.0,3.0,50.0,44.8405323485,-0.5806114859,850.0,153.74289291808418
5.0,3.0,0.0,44.8285228603,-0.5667028427,0.0,103.32181257209595
4.0,1.0,0.0,44.8359794984,-0.5743936231,200.0,70.63056671650065
6.0,3.0,40.0,44.8478595863,-0.5936747013,200.0,135.82962564211812
4.0,1.0,25.0,44.8415319548,-0.5790953648,400.0,85.2415704312134
2.0,1.0,20.0,44.8293855346,-0.5703947312,350.0,63.11893572798817
4.0,1.0,0.0,44.8374716909,-0.5701439684,1000.0,92.0861906099235
6.0,2.0,45.0,44.8541813303,-0.5751591111,500.0,127.68279875312601
